label,source,dataset,sample_number,filename,filepath,file_size,filename_length,extension_count,has_double_extension,has_uppercase_extension,has_unicode_control_char,special_char_ratio,extension_category,is_executable_extension,is_script_extension,is_macro_document,is_archive_extension,is_unknown_extension,magic_bytes_known,magic_bytes_valid,extension_mime_mismatch,has_content_type,claimed_mime_mismatch,embedded_file_signature_count,byte_entropy,header_entropy,printable_ratio,null_byte_ratio,unique_byte_count,url_count,ip_address_count,base64_candidate_count,suspicious_command_count,execution_api_count,network_api_count,obfuscation_pattern_count,suspicious_string_count,archive_entry_count,executable_entry_count,script_entry_count,archive_depth,compression_ratio,archive_bomb_suspected
0,met,image_anomaly_benign,274,met_543898_additional_004.jpg,data/raw/image_anomaly/benign/met/jpg/met_543898_additional_004.jpg,1132687,29,1,0,0,0,0.13793103448275862,image,0,0,0,0,0,1,1,0,0,0,24,7.906081105303314,4.974273171444798,0.3827129648349456,0.014537996816419717,256,22,0,0,0,0,0,0,0,0,0,0,0,0.0,0
0,met,image_anomaly_benign,275,met_543898_additional_005.jpg,data/raw/image_anomaly/benign/met/jpg/met_543898_additional_005.jpg,1431856,29,1,0,0,0,0.13793103448275862,image,0,0,0,0,0,1,1,0,0,0,41,7.900840701503629,4.975225473011613,0.3662588975427697,0.0116331530544971,256,22,0,0,0,0,0,0,0,0,0,0,0,0.0,0
0,met,image_anomaly_benign,276,met_543898_primary_000.jpg,data/raw/image_anomaly/benign/met/jpg/met_543898_primary_000.jpg,1387456,26,1,0,0,0,0.15384615384615385,image,0,0,0,0,0,1,1,0,0,0,30,7.951645682246467,3.5373045929141873,0.36931045020526776,0.006937156926057475,256,6,0,0,1,0,0,0,1,0,0,0,0,0.0,0
0,met,image_anomaly_benign,277,met_54480_primary_000.jpg,data/raw/image_anomaly/benign/met/jpg/met_54480_primary_000.jpg,2202799,25,1,0,0,0,0.16,image,0,0,0,0,0,1,1,0,0,0,54,7.979970753694178,3.48464479803749,0.3793564460488678,0.008009809338028572,256,6,0,0,0,0,0,0,0,0,0,0,0,0.0,0
0,met,image_anomaly_benign,278,met_54702_primary_000.jpg,data/raw/image_anomaly/benign/met/jpg/met_54702_primary_000.jpg,3759774,25,1,0,0,0,0.16,image,0,0,0,0,0,1,1,0,0,0,67,7.979856102906623,3.4909542678267518,0.38277912448992946,0.006880732724892507,256,6,0,0,1,0,0,0,1,0,0,0,0,0.0,0
0,met,image_anomaly_benign,279,met_547431_primary_000.jpg,data/raw/image_anomaly/benign/met/jpg/met_547431_primary_000.jpg,2393352,26,1,0,0,0,0.15384615384615385,image,0,0,0,0,0,1,1,0,0,0,29,7.978663602089864,4.862024797045987,0.3817541255945636,0.007674174129004008,256,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0
0,met,image_anomaly_benign,280,met_547635_primary_000.jpg,data/raw/image_anomaly/benign/met/jpg/met_547635_primary_000.jpg,1341669,26,1,0,0,0,0.15384615384615385,image,0,0,0,0,0,1,1,0,0,0,5,7.936992746580978,5.20599917572372,0.3837600779327837,0.011337371587179849,256,10,0,0,0,0,0,0,0,0,0,0,0,0.0,0
0,met,image_anomaly_benign,281,met_549684_primary_000.jpg,data/raw/image_anomaly/benign/met/jpg/met_549684_primary_000.jpg,209671,26,1,0,0,0,0.15384615384615385,image,0,0,0,0,0,1,1,0,0,0,1,7.892465761605921,4.9568960540327875,0.4204301023985196,0.017083907645787925,256,19,0,0,0,0,0,0,0,0,0,0,0,0.0,0
0,met,image_anomaly_benign,282,met_549816_primary_000.jpg,data/raw/image_anomaly/benign/met/jpg/met_549816_primary_000.jpg,1085336,26,1,0,0,0,0.15384615384615385,image,0,0,0,0,0,1,1,0,0,0,20,7.9617514530931,4.9611017485056115,0.38387927793789206,0.007891565376989245,256,19,0,0,0,0,0,0,0,0,0,0,0,0.0,0
0,met,image_anomaly_benign,283,met_551350_additional_001.jpg,data/raw/image_anomaly/benign/met/jpg/met_551350_additional_001.jpg,2787499,29,1,0,0,0,0.13793103448275862,image,0,0,0,0,0,1,1,0,0,0,43,7.94793893638723,6.324921466144964,0.37392623279864856,0.012778479920530912,256,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0
